Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Pharmaceuticals,KHTRF,423 M,4.25,($0.10),$5.59,$0.07,1.4207,-.0507,1.261,
Health Care Providers & Services,HWAIF,289 M,.99005,($0.11),$0.29,($0.16),-52.644,-17.017,2.3667,
Biotechnology,GYRE,819 M,9.07,($0.12),$0.78,$0.02,12.117,5.1782,1.9052,
Health Care Equipment & Supplies,OFIX,441 M,11.25,($0.12),$11.72,($3.72),-27.818,-5.0016,1.7961,
Biotechnology,BCRX,"2,249 M",10.75,($0.13),($2.16),($0.26),11.523,4.5409,-1.0622,
Biotechnology,VCEL,"2,079 M",41.295,($0.13),$5.88,$0.05,1.125,-.4494,1.4369,
Biotechnology,HRTX,287 M,1.88,($0.15),($0.19),($0.06),25.025,-.9853,-8.2857,
Health Care Equipment & Supplies,BFLY,593 M,2.40,($0.16),$0.97,($0.30),-29.163,-13.864,1.3284,
Biotechnology,AKBA,796 M,3.03,($0.16),$0.09,($0.21),3385.4,-4.2566,12.619,
Health Care Providers & Services,VMD,263 M,6.65,($0.17),$3.41,$0.30,9.8932,6.1119,1.3215,
Life Sciences Tools & Services,MRVI,324 M,2.25,($0.17),$2.09,($1.16),-44.323,-4.6444,3.1926,
Pharmaceuticals,NGENF,273 M,3.79,($0.18),$0.01,($0.25),-253.35,-68.238,11.399,
Pharmaceuticals,XERS,791 M,4.94,($0.18),($0.23),($0.30),203.48,-3.1421,-8.9801,
Health Care Providers & Services,AGL,919 M,2.22,($0.19),$1.21,($0.62),-42.972,-8.8478,3.8638,
Health Care Equipment & Supplies,NEOG,"1,272 M",5.86,($0.20),$12.26,($2.24),-16.714,.5902,1.5172,
Biotechnology,ARDX,878 M,3.67,($0.21),$0.61,($0.23),-36.256,-6.5808,2.8158,
Biotechnology,SMMT,"13,528 M",18.215,($0.22),$0.53,($0.31),-94.895,-41.305,1.1204,
Biotechnology,MREO,342 M,2.15,($0.22),$0.38,($0.31),-91.701,-47.591,1.1372,
Life Sciences Tools & Services,TKNO,308 M,5.77,($0.22),$1.47,($0.47),-28.76,-12.257,1.4502,
Pharmaceuticals,CRMD,823 M,12.14,($0.22),$1.70,$0.28,19.873,8.3138,1.302,
Health Care Technology,HCAT,264 M,3.80,($0.23),$5.42,($1.16),-19.797,-4.1513,2.366,
Health Care Providers & Services,TOI,285 M,3.19,($0.25),$0.06,($0.70),-277.62,-17.657,32.354,
Health Care Providers & Services,NEO,937 M,7.28,($0.25),$6.92,($0.61),-8.5653,-2.7512,1.8029,
Pharmaceuticals,AVDL,881 M,9.11,($0.26),$0.77,($0.27),-34.647,-7.2075,2.2674,
Biotechnology,SPRY,"1,417 M",14.43,($0.29),$2.33,($0.16),-6.9119,-6.0974,1.4295,
Health Care Providers & Services,OPK,"1,079 M",1.36,($0.30),$1.95,($0.06),-3.0416,-8.2042,1.6226,
Pharmaceuticals,RGC,"11,412 M",877.00,($0.31),$0.63,($0.33),-43.183,-28.115,1.0267,
Biotechnology,GERN,968 M,1.52,($0.31),$0.42,($0.21),-45.348,-16.072,2.0968,
Biotechnology,ABUS,644 M,3.36,($0.31),$0.41,($0.41),-79.023,-31.583,1.4782,
Life Sciences Tools & Services,MXCT,253 M,2.38,($0.31),$1.88,($0.40),-19.63,-13.122,1.1532,
Health Care Equipment & Supplies,DRTS,253 M,2.985,($0.31),$0.80,($0.46),-47.95,-25.172,1.4368,
Biotechnology,CMPX,290 M,2.10,($0.32),$0.80,($0.40),-41.312,-26.411,1.192,
Biotechnology,TSHA,582 M,2.71,($0.32),$0.27,($0.33),-159.34,-35.914,2.513,
Life Sciences Tools & Services,LFCR,251 M,6.77,($0.33),$0.06,($1.49),-83.579,-3.1047,106.64,
Life Sciences Tools & Services,LAB,365 M,1.01,($0.33),$1.20,($0.35),-25.731,-11.633,1.275,
Health Care Equipment & Supplies,IART,984 M,12.66,($0.33),$19.61,($0.38),-1.8549,2.6588,2.659,
Biotechnology,AVXL,643 M,7.53,($0.35),$1.17,($0.56),-40.169,-25.436,1.1742,
Health Care Technology,EVH,875 M,7.45,($0.35),$8.07,($1.22),-9.2418,-.0422,2.8363,
Pharmaceuticals,ACB,291 M,5.30,($0.37),$7.26,$0.23,2.6513,2.7848,1.5125,
Pharmaceuticals,TRVI,662 M,6.51,($0.39),$1.00,($0.44),-55.124,-34.414,1.0759,
Life Sciences Tools & Services,STVN,"6,061 M",22.21,($0.39),$5.61,$0.50,9.1371,4.8828,1.6415,
Biotechnology,MYGN,386 M,4.19,($0.39),$7.65,($1.12),-13.844,-5.2619,1.4273,
Health Care Equipment & Supplies,AORT,"1,391 M",29.58,($0.42),$6.89,($0.53),-7.2626,1.5416,2.6887,
Biotechnology,TGTX,"5,574 M",35.11,($0.42),$1.63,$0.24,19.703,7.2597,2.7675,
Health Care Equipment & Supplies,CLPT,334 M,11.81,($0.43),$0.71,($0.75),-76.209,-32.394,1.5045,
Biotechnology,CRVS,291 M,3.78,($0.43),$0.72,($0.99),-100.13,-39.209,1.205,
Biotechnology,VALN,544 M,6.40,($0.44),$1.23,($0.58),-44.111,-19.19,2.7517,
Pharmaceuticals,EOLS,593 M,9.19,($0.46),($0.10),($0.89),-949.46,-9.3598,-32.308,
Biotechnology,SVRA,394 M,2.28,($0.46),$0.70,($0.49),-75.766,-38.97,1.2805,
Life Sciences Tools & Services,EVO,"1,410 M",3.97,($0.47),$5.56,($1.27),-20.507,-2.4234,2.1322,
Health Care Equipment & Supplies,BLCO,"4,053 M",11.47,($0.48),$18.00,($1.03),-5.3639,.6081,2.111,
Health Care Providers & Services,WGS,"2,032 M",71.22,($0.48),$9.02,($1.41),-16.605,-1.8431,1.7344,
Life Sciences Tools & Services,GRRMY,"2,487 M",18.00,($0.48),$45.14,$3.72,5.423,3.0126,3.2002,
Health Care Equipment & Supplies,SIBN,805 M,18.90,($0.48),$3.94,($0.63),-15.956,-8.5048,1.3588,
Life Sciences Tools & Services,ABCL,603 M,2.02,($0.48),$3.43,($0.57),-15.595,-12.936,1.314,
Biotechnology,ERAS,397 M,1.40,($0.49),$1.41,($0.59),-45.82,-22.164,1.1796,
Biotechnology,IBRX,"2,348 M",2.66,($0.51),($0.69),($0.58),63.861,-55.615,-.5136,
Health Care Equipment & Supplies,RXST,621 M,15.29,($0.52),$6.88,($0.67),-11.978,-9.2859,1.1208,
Health Care Equipment & Supplies,SRDX,415 M,29.02,($0.52),$7.71,($1.40),-16.963,-1.4352,1.4805,
Pharmaceuticals,NUVB,721 M,2.12,($0.53),$1.23,($2.03),-119.66,-23.331,1.1741,
Biotechnology,PRTC,443 M,18.43,($0.53),$1.73,$0.21,6.4149,-13.099,1.4532,
Pharmaceuticals,AQST,269 M,2.71,($0.53),($0.61),($0.59),111.57,-22.21,-1.6779,
Health Care Equipment & Supplies,QDEL,"2,074 M",30.67,($0.53),$44.40,($5.33),-11.378,1.1185,2.1559,
Health Care Equipment & Supplies,ATEC,"1,817 M",12.43,($0.57),($0.58),($1.15),28033,-9.3341,-9.1399,
Biotechnology,MIRM,"2,202 M",44.46,($0.58),$4.72,($1.61),-33.061,-7.1077,2.9592,
Biotechnology,ALNY,"39,711 M",304.56,($0.59),$0.89,($2.10),519.47,-1.7941,36.504,
Health Care Equipment & Supplies,TMCI,361 M,5.74,($0.59),$1.67,($0.85),-45.733,-14.56,1.9541,
Life Sciences Tools & Services,ADPT,"1,446 M",9.52,($0.60),$1.25,($0.96),-61.031,-15.049,2.6827,
Health Care Equipment & Supplies,NPCE,434 M,13.22,($0.61),$0.74,($0.83),-128.49,-11.524,4.541,
Health Care Equipment & Supplies,STAA,882 M,17.81,($0.64),$7.07,($1.44),-19.139,-5.897,1.3069,
Life Sciences Tools & Services,PACB,289 M,.9637,($0.65),$0.31,($2.34),-177.61,-31.704,9.3934,
Biotechnology,ABSI,338 M,2.65,($0.66),$1.56,($0.92),-48.975,-27.525,1.1693,
Health Care Equipment & Supplies,PLSE,"1,164 M",17.305,($0.66),$1.76,($0.99),-77.864,-43.609,1.1261,
Health Care Equipment & Supplies,NVCR,"2,130 M",19.11,($0.66),$3.25,($1.51),-45.524,-8.6428,3.4502,
Biotechnology,RGLS,549 M,7.93,($0.66),$1.04,($0.72),-53.815,-34.234,1.0841,
Health Care Providers & Services,NNOX,327 M,5.12,($0.68),$2.78,($0.91),-30.108,-17.892,1.1105,
Health Care Equipment & Supplies,ANGO,414 M,10.20,($0.69),$4.54,($1.02),-20.462,-6.5533,1.5356,
Biotechnology,CADL,273 M,5.45,($0.74),$1.52,($1.08),-98.14,-32.31,1.2843,
Pharmaceuticals,LLY,"662,233 M",737.67,($0.74),$16.64,$12.29,77.278,16.447,5.6701,
Life Sciences Tools & Services,CYRX,301 M,6.01,($0.77),$7.23,($2.35),-24.971,-4.8371,1.9304,
Pharmaceuticals,GHRS,746 M,12.03,($0.77),$5.00,($0.79),-16.196,-11.969,1.033,
Biotechnology,ATYR,398 M,4.47,($0.78),$0.84,($0.80),-79.696,-39.817,1.2957,
Biotechnology,CKPT,371 M,4.26,($0.78),$0.20,($1.22),-1869.5,-152.73,2.0966,
Biotechnology,HUMA,414 M,2.67,($0.81),$0.23,($0.65),-249.75,-42.823,4.51,
Biotechnology,ALVO,"3,453 M",11.44,($0.81),($1.07),$0.34,-20.09,7.0179,-4.1201,
Biotechnology,JANX,"1,408 M",23.80,($0.82),$17.11,($1.37),-9.3202,-8.1608,1.0378,
Health Care Providers & Services,OMI,506 M,6.60,($0.83),$7.39,($4.75),-49.907,3.1385,8.5054,
Pharmaceuticals,TERN,272 M,3.11,($0.86),$3.73,($1.08),-32.123,-22.15,1.0407,
Pharmaceuticals,OCUL,"1,276 M",8.01,($0.89),$1.67,($1.15),-57.192,-27.21,1.5264,
Biotechnology,ARQT,"1,554 M",13.04,($0.94),$1.20,($1.04),-70.575,-18.432,2.4121,
Health Care Equipment & Supplies,STIM,257 M,3.91,($0.94),$0.54,($1.22),-144.5,-19.385,4.0051,
Biotechnology,SANA,489 M,2.17,($0.95),$0.93,($0.88),-71.436,-23.838,2.1306,
Biotechnology,CTMX,417 M,2.65,($0.95),$0.31,$0.49,-1254.8,15.873,3.9322,
Biotechnology,ALLO,256 M,1.17,($0.96),$1.76,($1.22),-59.597,-28.918,1.3181,
Pharmaceuticals,BLTE,"2,111 M",64.87,($0.96),$4.86,($1.37),-33.433,-22.228,1.0388,
Health Care Equipment & Supplies,GKOS,"5,388 M",94.29,($0.98),$13.46,($2.27),-20.364,-6.6778,1.2647,
Biotechnology,RZLT,352 M,4.12,($1.00),$1.36,($1.12),-95.155,-52.847,1.1474,
Biotechnology,VNDA,256 M,4.34,($1.01),$8.68,($0.76),-8.3849,-7.05,1.2357,
Biotechnology,BNTC,393 M,15.36,($1.03),$3.82,($1.47),-48.574,-31.338,1.0783,
Health Care Providers & Services,FLGT,631 M,20.72,($1.04),$36.81,($1.34),-3.723,-3.6907,1.0697,
Biotechnology,ZYME,796 M,11.43,($1.04),$4.67,($1.50),-29.799,-13.889,1.3094,
Biotechnology,AUTL,466 M,1.75,($1.07),$1.39,($0.89),-49.968,-20.275,2.0111,
Biotechnology,TWST,"1,756 M",29.30,($1.11),$7.35,($3.25),-38.22,-15.041,1.3533,
Biotechnology,ALT,440 M,5.43,($1.11),$1.83,($1.25),-57.277,-35.513,1.1062,
Biotechnology,IOVA,584 M,1.75,($1.14),$2.30,($1.23),-51.85,-27.141,1.259,
Pharmaceuticals,MNMD,549 M,7.26,($1.15),$2.95,($1.06),-37.065,-25.84,1.2357,
Biotechnology,ROIV,"7,471 M",10.99,($1.16),$6.74,($0.75),-12.544,-10.73,1.1599,
Biotechnology,CGON,"1,953 M",25.62,($1.18),$9.25,($1.51),-16.575,-12.851,1.0332,
Biotechnology,VKTX,"3,010 M",26.80,($1.21),$7.54,($1.15),-14.402,-11.741,1.0237,
Biotechnology,CAPR,452 M,9.89,($1.22),$2.79,($1.42),-75.39,-35.236,1.2046,
Pharmaceuticals,WVE,926 M,6.01,($1.24),$1.11,($0.77),-105.5,-30.02,1.6783,
Biotechnology,CNTA,"1,805 M",13.51,($1.24),$2.90,($1.82),-74.44,-28.583,1.3666,
Biotechnology,TYRA,484 M,9.10,($1.25),$6.09,($1.63),-27.035,-18.996,1.0616,
Pharmaceuticals,ZVRA,468 M,8.55,($1.25),$0.75,($1.86),-204.78,-27.732,4.21,
Pharmaceuticals,EWTX,"1,502 M",14.28,($1.27),$4.51,($1.55),-30.288,-21.082,1.0574,
Biotechnology,VIGL,368 M,7.89,($1.27),$1.40,($2.05),-102.7,-49.379,1.6453,
Biotechnology,RXRX,"1,699 M",4.18,($1.27),$2.30,($1.82),-86.102,-38.514,1.3976,
Biotechnology,ADCT,306 M,3.09,($1.32),($2.40),($1.45),69.264,-27.025,-1.1441,
Pharmaceuticals,LQDA,"1,275 M",14.92,($1.32),$0.58,($1.71),-203.98,-37.663,4.5748,
Biotechnology,ABEO,319 M,6.24,($1.35),$0.85,($0.95),-271.78,-49.951,2.4003,
Pharmaceuticals,RICFY,"12,304 M",14.945,($1.39),$10.37,$2.16,22.025,9.3338,2.6122,
Biotechnology,NAMS,"2,033 M",18.11,($1.39),$6.93,($1.85),-31.511,-18.147,1.0528,
Life Sciences Tools & Services,TEM,"9,553 M",55.18,($1.45),$1.89,($4.92),10561,-43.891,4.7307,
Pharmaceuticals,VRNA,"6,913 M",81.20,($1.47),$2.49,($2.02),-72.608,-20.643,2.321,
Biotechnology,TRDA,288 M,7.60,($1.48),$11.84,$0.61,7.2181,.5148,1.1659,
Biotechnology,MGTX,411 M,5.12,($1.49),$0.42,($2.27),-216.14,-37.28,6.768,
Biotechnology,LEGN,"5,328 M",28.95,($1.49),$5.53,($1.19),-19.997,-8.7713,1.5875,
Pharmaceuticals,AVIR,254 M,2.97,($1.49),$4.80,($1.65),-30.474,-12.771,1.0703,
Pharmaceuticals,ELVN,872 M,17.77,($1.51),$5.88,($1.93),-31.297,-21.357,1.0495,
Biotechnology,SLN,276 M,5.84,($1.51),$2.39,($1.52),-53.135,-20.957,1.6435,
Biotechnology,INZY,256 M,3.97,($1.52),$0.49,($1.68),-141.69,-48.452,2.9928,
Biotechnology,XOMA,296 M,24.76,($1.57),$7.08,($0.73),-3.4245,-6.7806,2.5154,
Health Care Equipment & Supplies,KIDS,494 M,19.96,($1.58),$13.98,($1.76),-11.335,-4.2343,1.3546,
Health Care Providers & Services,SNDA,460 M,24.40,($1.60),$3.28,($2.75),-69.631,-1.3321,14.029,
Biotechnology,AURA,363 M,5.86,($1.61),$2.55,($1.90),-56.241,-32.925,1.2144,
Biotechnology,ORIC,581 M,8.17,($1.65),$3.09,($1.88),-48.454,-30.874,1.1052,
Biotechnology,IMTX,655 M,5.39,($1.65),$4.78,($0.22),-4.7785,-5.8425,1.1958,
Health Care Equipment & Supplies,PRCT,"3,209 M",58.00,($1.66),$7.04,($1.70),-27.616,-13.356,1.3346,
Biotechnology,ATXS,269 M,4.76,($1.67),$3.44,($1.88),-32.888,-22.563,1.6002,
Biotechnology,COGT,619 M,5.44,($1.68),$0.97,($2.04),-84.043,-47.451,2.5607,
Biotechnology,DAWN,647 M,6.38,($1.70),$4.73,($0.71),-17.797,-27.812,1.1144,
Biotechnology,VERV,397 M,4.45,($1.71),$5.33,($2.10),-34.263,-19.351,1.297,
Biotechnology,RGNX,444 M,8.85,($1.71),$5.47,($3.10),-47.435,-17.56,1.7904,
Biotechnology,RLAY,514 M,3.00,($1.79),$4.23,($2.19),-45.456,-28.823,1.1086,
Biotechnology,RYTM,"3,902 M",61.33,($1.85),$0.30,($2.82),-150.2,-51.334,20.409,
Health Care Equipment & Supplies,NYXH,286 M,7.65,($1.86),$2.68,($2.16),-77.443,-33.763,1.4638,
Health Care Providers & Services,BKD,"1,526 M",6.51,($1.87),$0.63,($1.04),-90.685,.7953,42.296,
Biotechnology,OLMA,361 M,5.28,($1.89),$5.61,($1.95),-41.594,-27.437,1.0683,
Pharmaceuticals,TARS,"1,805 M",42.95,($1.89),$8.15,($2.72),-33.98,-16.053,1.4622,
Health Care Providers & Services,HQY,"8,716 M",100.61,($1.91),$24.44,$1.09,4.6604,3.835,1.6306,
Pharmaceuticals,LENZ,822 M,29.20,($1.93),$6.97,($1.77),-24.471,-17.755,1.0481,
Biotechnology,CMPS,389 M,4.16,($1.95),$2.11,($1.94),-60.62,-32.399,1.6327,
Health Care Equipment & Supplies,CBLL,608 M,16.81,($1.98),$5.04,($2.29),-41.391,-21.312,1.1802,
Life Sciences Tools & Services,BCHMY,"4,574 M",6.10,($2.03),$20.45,$1.77,8.8691,4.6122,1.3824,
Biotechnology,SLNO,"3,696 M",73.35,($2.10),$4.79,($4.65),-105.54,-52.403,1.3696,
Biotechnology,RCKT,270 M,2.51,($2.15),$3.86,($2.61),-60.453,-34.804,1.143,
Biotechnology,MLTX,"2,476 M",39.01,($2.22),$6.42,($2.30),-30.639,-19.848,1.2546,
Biotechnology,ACLX,"3,420 M",62.06,($2.26),$7.57,($3.00),-35.561,-16.692,1.5545,
Biotechnology,DNLI,"1,923 M",13.24,($2.26),$7.73,($2.67),-35.214,-22.577,1.1324,
Biotechnology,ONC,"26,550 M",245.58,($2.27),$32.42,($3.70),-11.439,-3.2208,1.6692,
Biotechnology,ZLAB,"3,304 M",30.14,($2.35),$7.48,($2.48),-32.051,-15.503,1.4472,
Biotechnology,ITOS,384 M,10.02,($2.37),$14.72,($3.09),-23.684,-14.541,1.1694,
Biotechnology,BPMC,"6,545 M",101.35,($2.38),$5.30,($2.45),-47.71,-9.7527,3.4946,
Pharmaceuticals,RAPP,302 M,8.27,($2.38),$7.83,($2.74),-33.144,-22.885,1.0567,
Biotechnology,SRRK,"2,754 M",29.01,($2.43),$3.29,($2.78),-106.71,-50.146,1.3049,
Biotechnology,CELC,403 M,10.63,($2.45),$2.29,($3.04),-115.39,-39.043,2.5168,
Pharmaceuticals,AXSM,"5,178 M",105.16,($2.46),$1.08,($5.77),-282.16,-26.175,11.215,
Pharmaceuticals,GPCR,"1,252 M",21.76,($2.46),$14.33,($2.59),-22.85,-17.235,1.0508,
Biotechnology,REPL,692 M,8.98,($2.47),$5.39,($3.07),-62.579,-31.261,1.3258,
Health Care Providers & Services,GH,"5,032 M",40.62,($2.47),($2.03),($3.38),456.48,-18.638,-5.36,
Biotechnology,XNCR,569 M,8.00,($2.52),$9.00,($3.05),-34.052,-11.421,1.4139,
Biotechnology,ARGX,"35,003 M",573.26,($2.52),$90.49,$15.94,17.363,-.2075,1.1281,
Biotechnology,DNTH,559 M,17.39,($2.54),$10.23,($2.81),-28.728,-20.039,1.0608,
Biotechnology,ABVX,382 M,6.02,($2.54),$0.66,($2.90),-148.98,-40.622,5.0569,
Biotechnology,XENE,"2,214 M",28.85,($2.56),$9.19,($3.22),-31.596,-22.032,1.0559,
Biotechnology,CGEM,510 M,8.645,($2.60),$9.40,($3.10),-36.57,-25.377,1.0505,
Biotechnology,CLDX,"1,313 M",19.78,($2.62),$10.59,($2.70),-23.203,-16.882,1.0519,
Biotechnology,VERA,"1,209 M",18.95,($2.67),$8.39,($3.00),-39.494,-23.464,1.1405,
Pharmaceuticals,PHVS,905 M,16.60,($2.70),$4.47,($3.04),-52.196,-31.879,1.1009,
Biotechnology,BBIO,"6,503 M",34.25,($2.70),($8.68),($3.54),50.592,-48.269,-.53485,
Biotechnology,VSTM,413 M,7.52,($2.71),($0.63),($3.50),-2159.5,-64.191,-4.0606,
Biotechnology,KALV,587 M,11.80,($2.71),$2.93,($3.72),-150.5,-58.153,1.9018,
Biotechnology,NRIX,810 M,10.63,($2.71),$6.31,($2.81),-64.157,-31.081,1.2789,
Biotechnology,IMNM,762 M,8.76,($2.73),$3.53,($3.13),-69.213,-33.54,1.1158,
Health Care Equipment & Supplies,ESTA,995 M,34.42,($2.73),$1.33,($3.12),-186.68,-11.433,8.6476,
Health Care Providers & Services,ACHC,"2,086 M",22.64,($2.84),$33.65,$2.04,6.3349,5.0564,2.0212,
Biotechnology,BCAX,504 M,9.25,($2.92),$8.42,($3.05),-27.258,-13.843,1.0417,
Biotechnology,NUVL,"5,358 M",74.61,($2.99),$14.09,($4.41),-35.687,-22.226,1.0937,
Biotechnology,RNA,"3,734 M",30.98,($2.99),$11.03,($3.03),-34.193,-22.467,1.0981,
Biotechnology,CRNX,"2,858 M",30.51,($3.09),$13.41,($3.82),-30.837,-20.129,1.0856,
Biotechnology,VIR,683 M,4.94,($3.09),$7.56,($4.22),-44.586,-23.516,1.2528,
Biotechnology,KYMR,"1,930 M",29.64,($3.10),$12.07,($3.11),-32.173,-19.467,1.168,
Biotechnology,IDYA,"1,742 M",19.89,($3.15),$11.70,($3.61),-31.344,-21.843,1.0747,
Biotechnology,UPB,497 M,9.23,($3.16),$8.31,($3.40),-28.616,-16.906,1.0237,
Biotechnology,ORKA,410 M,10.96,($3.18),$9.66,($3.04),<empty>,<empty>,1.0423,
Biotechnology,DYN,"1,359 M",11.96,($3.19),$5.89,($3.62),-64.014,-39.922,1.0779,
Biotechnology,SYRE,922 M,15.28,($3.21),$5.42,($3.01),-65.819,-25.341,1.7436,
Biotechnology,RCUS,946 M,8.93,($3.25),$5.01,($4.20),-63.166,-22.254,2.177,
Biotechnology,TVTX,"1,334 M",15.02,($3.27),$0.37,($2.77),-422.66,-23.208,16.72,
Biotechnology,ARCT,340 M,12.53,($3.32),$8.62,($2.52),-27.404,-13.669,1.4193,
Biotechnology,SNDX,907 M,10.54,($3.34),$2.50,($3.86),-93.7,-36.291,2.9792,
Pharmaceuticals,AMLX,459 M,5.15,($3.35),$2.26,($3.02),-83.239,-40.72,1.0906,
Biotechnology,QURE,792 M,14.47,($3.36),$0.62,($4.37),-241.16,-15.642,17.972,
Biotechnology,APGE,"2,137 M",36.64,($3.38),$11.55,($3.59),-27.853,-19.653,1.0606,
Biotechnology,ETNB,"1,436 M",9.84,($3.41),$4.15,($3.30),-69.296,-39.934,1.1314,
Biotechnology,IRON,"1,617 M",46.68,($3.46),$19.10,($3.92),-23.335,-16.245,1.0741,
Biotechnology,RVMD,"7,339 M",39.40,($3.47),$11.16,($4.02),-36.676,-23.09,1.1382,
Pharmaceuticals,ARVN,526 M,7.20,($3.51),$9.04,($0.65),-7.3397,-5.3925,1.5166,
Biotechnology,CYTK,"3,705 M",31.02,($3.51),($2.23),($5.30),185.72,-34.122,-4.7447,
Biotechnology,AVBP,727 M,21.25,($3.55),$5.95,($3.78),-48.997,-23.1,1.064,
Biotechnology,MRUS,"3,881 M",56.07,($3.58),$8.62,($4.14),-58.662,-30.614,1.2261,
Pharmaceuticals,MBX,415 M,12.42,($3.60),$7.04,($3.93),-48.216,-31.677,1.0446,
Biotechnology,CRSP,"3,134 M",36.29,($3.61),$21.18,($4.52),-19.711,-12.877,1.1842,
Biotechnology,PVLA,267 M,24.13,($3.64),$5.04,($5.05),-89.301,-18.395,1.4293,
Biotechnology,IONS,"5,333 M",33.51,($3.66),$2.99,($3.00),-118.62,-10.589,5.913,
Biotechnology,ANAB,653 M,22.23,($3.72),$1.12,($4.79),-343.83,-15.142,12.406,
Pharmaceuticals,SEPN,412 M,9.25,($3.73),$9.10,($3.89),-30.956,-18.677,1.0843,
Biotechnology,NTLA,712 M,6.87,($3.78),$7.53,($5.21),-57.918,-30.116,1.2644,
Biotechnology,MLYS,"1,015 M",15.58,($3.81),$5.26,($3.73),-56.306,-35.868,1.0392,
Biotechnology,VRDN,"1,136 M",13.92,($3.84),$5.09,($3.33),-51.949,-32.621,1.5905,
Biotechnology,ASND,"9,851 M",162.84,($4.07),($3.40),($6.30),159.67,-22.387,-5.5922,
Biotechnology,BEAM,"1,592 M",15.83,($4.30),$11.52,($4.62),-38.038,-19.047,1.3061,
Biotechnology,RARE,"3,217 M",34.03,($4.42),$1.54,($5.88),-377.06,-24.511,9.0951,
Biotechnology,INSM,"12,701 M",69.73,($4.58),$0.55,($5.89),554.23,-36.253,18.18,
Biotechnology,PCVX,"4,191 M",32.49,($4.64),$24.82,($3.98),-19.661,-14.532,1.0557,
Biotechnology,MTSR,"2,807 M",26.72,($4.69),$4.82,($8.99),-108.4,-27.087,1.3667,
Health Care Equipment & Supplies,BBNX,747 M,17.24,($4.74),$7.24,($5.66),-81.348,-21.782,1.0774,
Biotechnology,VRTX,"113,517 M",442.05,($4.88),$64.20,($3.84),-5.6439,11.773,1.387,
Biotechnology,TECX,402 M,21.51,($5.07),$16.12,($4.72),-41.595,-22.886,1.0458,
Biotechnology,SAGE,405 M,6.46,($5.08),$6.55,($5.79),-63.532,-36.349,1.146,
Biotechnology,GLPG,"1,895 M",28.76,($5.21),$45.16,($2.95),-6.3562,-4.6621,1.4636,
Biotechnology,SION,604 M,13.69,($5.75),$7.98,($6.81),-61.438,-37.104,1.0509,
Biotechnology,ZBIO,398 M,9.52,($5.92),$6.80,($7.00),-115.47,-56.698,1.1739,
Health Care Technology,CTEV,632 M,38.45,($6.10),$0.90,($74.85),-198.69,.8302,342.97,
Biotechnology,BHVN,"1,512 M",14.81,($6.74),$2.54,($9.23),-316.82,-129.99,1.7686,
Biotechnology,AGIO,"1,858 M",32.09,($7.07),$25.33,$11.45,60.258,-22.882,1.0607,
Pharmaceuticals,ALMS,361 M,3.50,($7.09),$3.09,($8.31),-247.05,-101.07,1.5524,
Biotechnology,SRPT,"3,695 M",37.60,($7.27),$11.63,($2.59),-23.612,-2.19,3.0326,
Biotechnology,PRAX,785 M,38.55,($8.32),$21.59,($10.79),-63.556,-39.945,1.09,
Biotechnology,MRNA,"10,272 M",26.56,($10.48),$26.01,($8.73),-29.341,-15.837,1.2621,
Biotechnology,GRAL,"1,382 M",38.41,($14.29),$68.38,($58.52),-62.223,-11.985,1.1798,
Biotechnology,MDGL,"6,112 M",275.26,($18.42),$32.03,($17.97),-50.159,-25.563,1.4024,
Biotechnology,CDTX,281 M,21.68,($21.91),$11.60,($21.19),-299.58,-55.2,1.3532,
Health Care Equipment & Supplies,OM,311 M,17.57,($22.11),$9.37,($26.02),-86.529,-17.412,1.8142,
Biotechnology,TNXP,291 M,39.78,($27.11),$26.23,($59.67),-91.444,-27.591,1.0692,
