Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Capital Markets,DFIN,"1,506 M",54.48,$3.25,$14.89,$3.01,21.742,10.556,2.031,
Banks,UBSI,"5,134 M",36.14,$3.23,$37.28,$2.70,7.3205,1.1795,6.1697,
Capital Markets,NDAQ,"47,962 M",83.54,$3.22,$20.12,$2.21,11.415,4.3544,2.6543,
Capital Markets,GCMG,630 M,12.61,$3.19,($0.63),$0.14,-57.121,12.159,-20.47,
Banks,FIBK,"2,848 M",27.15,$3.16,$32.04,$2.11,6.6291,.7455,8.4134,
Banks,TCBK,"1,311 M",39.90,$3.15,$38.17,$3.43,9.3842,1.156,7.8212,
Banks,BWFG,273 M,34.71,$3.14,$35.73,$1.62,4.7473,.4068,11.569,
Financial Services,CASS,565 M,42.30,$3.14,$17.45,$1.51,8.9081,1.1761,9.8975,
Banks,IBCP,653 M,31.53,$3.14,$22.28,$3.14,15.04,1.2574,11.403,
Banks,FSBC,597 M,27.96,$3.14,$19.06,$2.27,13.776,1.2472,10.444,
Banks,HTH,"1,913 M",29.82,$3.14,$34.29,$1.97,6.2995,.8632,7.1885,
Insurance,GWLIF,"35,646 M",38.30,$3.13,$20.31,$2.86,12.872,.7366,29.57,
Banks,OBT,291 M,25.57,$3.11,$17.69,$2.41,14.755,1.0891,12.716,
Banks,ACNB,435 M,41.57,$3.10,$36.69,$2.79,7.4402,.8727,8.4523,
Banks,BHLB,"1,147 M",24.76,$3.10,$26.19,$2.46,9.6896,.885,10.038,
Banks,BY,"1,194 M",25.87,$3.08,$25.32,$2.69,11.08,1.2483,8.474,
Insurance,GLRE,499 M,14.44,$3.06,$19.30,$1.32,7.0355,1.7128,3.2275,
Banks,MBWM,717 M,44.16,$3.05,$37.47,$4.80,13.549,1.3365,10.095,
Banks,CIVB,350 M,22.55,$3.03,$25.61,$2.26,9.2533,.8842,10.434,
Banks,FLG,"4,782 M",11.52,$3.03,$18.43,($2.49),-10.397,-.8464,12.762,
Insurance,ACIC,522 M,10.80,$3.03,$5.47,$1.47,31.114,5.9319,4.4451,
Banks,DCOM,"1,124 M",25.66,$3.02,$29.58,$0.62,2.478,.238,10.883,
Banks,ASB,"3,842 M",23.17,$3.01,$27.50,$0.83,3.2447,.3402,9.6404,
Banks,CPF,720 M,26.70,$3.00,$20.60,$2.14,10.939,.786,13.286,
Capital Markets,CNCK,654 M,5.00,$2.99,$0.46,($34.11),-123.64,.5148,10.426,
Banks,WAFD,"2,278 M",28.42,$2.99,$33.84,$2.64,7.6989,.7933,10.117,
Banks,FMAO,327 M,23.81,$2.98,$25.41,$2.01,8.3138,.8247,9.8339,
Financial Services,MTG,"6,280 M",26.45,$2.97,$21.40,$3.00,15.121,9.7463,1.2715,
Banks,BHB,446 M,29.08,$2.94,$30.51,$2.84,9.6697,1.0884,8.6949,
Capital Markets,OCSL,"1,289 M",14.63,$2.91,$16.75,$0.11,.6016,5.8054,2.0874,
Capital Markets,BK,"63,395 M",88.61,$2.86,$52.82,$6.13,11.229,1.0824,11.662,
Capital Markets,IGIFF,"7,555 M",31.94,$2.85,$23.13,$2.76,12.724,4.9276,2.5657,
Banks,FFBC,"2,313 M",24.16,$2.84,$26.13,$2.41,9.5832,1.2727,7.3784,
Banks,FCBC,687 M,37.60,$2.83,$27.09,$2.74,10.082,1.5654,6.4981,
Banks,SFNC,"2,363 M",18.76,$2.83,$28.04,$1.16,4.195,.5398,7.5869,
Banks,GBCI,"4,708 M",41.47,$2.82,$28.96,$1.87,6.6294,.7617,8.4739,
Mortgage Real Estate Investment Trusts (REITs),TWO,"1,102 M",10.59,$2.80,$14.86,($0.32),.7077,.1156,8.8547,
Banks,BOH,"2,643 M",66.51,$2.80,$34.23,$3.56,10.035,.6662,17.563,
Banks,HBT,737 M,23.40,$2.77,$17.86,$2.38,14.24,1.4921,9.0118,
Banks,BFST,706 M,23.79,$2.74,$25.51,$2.43,9.7712,.9955,10.319,
Banks,COLB,"4,914 M",23.38,$2.71,$24.93,$2.37,9.7342,.9565,9.836,
Banks,TFC,"51,727 M",39.50,$2.67,$44.85,($0.20),.1342,.0155,9.1251,
Capital Markets,ONEXF,"5,132 M",73.77,$2.64,$120.59,$6.19,5.4155,2.4906,1.5739,
Banks,UCB,"3,492 M",28.74,$2.63,$28.55,$2.11,7.6805,.9456,8.1678,
Financial Services,EVTC,"2,305 M",36.23,$2.63,$8.47,$2.00,23.128,5.824,3.5372,
Capital Markets,SII,"1,495 M",57.96,$2.58,$12.64,$1.93,14.986,11.349,1.1839,
Banks,UVSP,853 M,29.52,$2.58,$31.19,$2.66,8.9312,.9925,8.8272,
Insurance,DGICA,729 M,20.20,$2.58,$16.24,$2.03,13.107,2.3424,4.0503,
Insurance,DGICB,606 M,16.80,$2.58,$16.24,$2.03,13.107,2.3424,4.0503,
Banks,RNST,"3,330 M",35.05,$2.54,$42.79,$3.20,7.8252,1.1093,6.6999,
Insurance,GSHD,"2,713 M",108.26,$2.53,($3.53),$1.26,-85.184,10.502,-4.6593,
Mortgage Real Estate Investment Trusts (REITs),IVR,487 M,7.38,$2.53,$8.90,$0.48,6.5255,.8849,10.491,
Capital Markets,TPG,"5,949 M",48.13,$2.51,$6.66,($0.31),.5862,.656,13.746,
Banks,CAC,665 M,39.34,$2.47,$37.91,$3.09,8.2439,.7376,10.882,
Banks,AMTB,733 M,17.53,$2.47,$21.68,($0.38),-1.7468,-.1437,11.222,
Banks,NRIM,506 M,91.60,$2.46,$50.67,$7.52,16.219,1.4268,11.228,
Banks,FNLC,271 M,24.19,$2.46,$23.19,$2.52,11.189,.9115,12.274,
Mortgage Real Estate Investment Trusts (REITs),STWD,"6,704 M",19.75,$2.46,$18.87,$0.93,4.7449,.5249,9.7044,
Capital Markets,CIXXF,"3,285 M",22.912,$2.45,$1.96,($1.28),-40.095,5.0615,27.97,
Banks,CCNE,455 M,21.67,$2.44,$27.16,$2.34,8.886,.8837,11.109,
Insurance,HRTG,758 M,24.47,$2.40,$11.09,$2.53,27.587,3.262,6.7267,
Banks,BUSE,"1,980 M",22.12,$2.38,$24.22,$0.95,3.3201,.3666,8.9302,
Banks,FBP,"3,228 M",19.98,$2.37,$10.98,$1.84,18.553,1.5912,10.738,
Banks,RF,"19,273 M",21.44,$2.34,$18.70,$2.07,11.306,1.2803,9.5062,
Financial Services,NATL,"1,947 M",26.51,$2.33,$3.75,$1.55,41.062,6.155,20.869,
Banks,MPB,612 M,26.65,$2.33,$34.50,$2.88,8.3757,.9386,8.3033,
Banks,VBTX,"1,313 M",24.20,$2.27,$30.08,$2.04,7.0715,.886,7.7173,
Consumer Finance,YRD,541 M,6.26,$2.24,$13.68,$2.48,17.952,13.523,1.3605,
Banks,CFG,"17,498 M",40.35,$2.18,$51.99,$3.15,6.3668,.7026,9.6756,
Banks,TOWN,"2,606 M",34.56,$2.18,$29.60,$2.36,8.3352,1.0378,7.9576,
Insurance,PRU,"36,778 M",103.89,$2.17,$84.41,$6.33,7.9077,.2337,24.739,
Mortgage Real Estate Investment Trusts (REITs),RC,762 M,4.47,$2.15,$10.61,($1.62),-11.146,-2.307,5.4511,
Mortgage Real Estate Investment Trusts (REITs),BXMT,"3,241 M",18.89,$2.15,$21.76,($0.47),-2.0122,-.3656,5.4203,
Capital Markets,PNNT,435 M,6.66,$2.14,$7.48,$0.73,9.6304,5.071,2.5769,
Banks,SBCF,"2,221 M",25.83,$2.13,$26.34,$1.48,5.8168,.8274,7.0558,
Banks,TCBX,424 M,30.66,$2.13,$34.70,$2.95,11.267,1.0649,10.208,
Banks,FFIN,"5,044 M",35.26,$2.07,$11.83,$1.62,14.596,1.6831,8.5178,
Banks,OSBC,745 M,16.54,$2.07,$15.42,$1.83,12.983,1.4771,8.2473,
Financial Services,PSFE,733 M,12.35,$2.05,$14.53,($0.01),-.0424,1.5582,5.4688,
Banks,USCB,331 M,16.53,$2.04,$11.23,$1.39,13.197,1.073,11.895,
Banks,FHB,"3,002 M",23.88,$2.01,$21.07,$1.84,9.1099,.9793,8.9642,
Banks,CBAN,267 M,15.29,$1.99,$16.41,$1.43,9.1975,.8128,11.055,
Banks,GBFH,554 M,38.81,$1.99,$10.17,$1.40,15.838,1.8263,8.1165,
Banks,PPBI,"2,058 M",21.20,$1.98,$30.57,$1.53,5.0358,.8011,6.0954,
Consumer Finance,LU,"2,539 M",2.93,$1.98,$15.42,($0.77),-3.4513,3.1047,2.4418,
Capital Markets,GCAAF,762 M,30.90,$1.96,$38.43,$1.85,5.7434,1.5203,1.4476,
Capital Markets,RWAY,371 M,9.93,$1.96,$13.48,$1.67,12.283,6.3194,2.0523,
Mortgage Real Estate Investment Trusts (REITs),FBRT,907 M,11.03,$1.96,$14.97,$0.67,4.9098,1.3744,4.5564,
Banks,HFWA,797 M,23.38,$1.96,$25.85,$1.48,5.9477,.7231,8.0882,
Banks,HOMB,"5,586 M",28.29,$1.94,$20.40,$2.09,10.628,1.8213,5.6875,
Financial Services,XYZ,"37,977 M",61.75,$1.94,$34.80,$4.12,12.793,1.9313,1.6953,
Capital Markets,VALU,369 M,39.19,$1.93,$10.51,$2.28,22.869,2.9859,1.4508,
Financial Services,AFRM,"16,743 M",51.90,$1.90,$8.91,($0.19),-2.2622,-1.3786,3.6301,
Banks,PGC,486 M,27.42,$1.90,$35.35,$1.80,5.3065,.4723,11.45,
Insurance,FIHL,"1,907 M",17.48,$1.90,$21.67,($0.09),-.4237,.1471,5.3406,
Consumer Finance,EZPW,822 M,13.45,$1.89,$15.48,$1.19,10.842,4.6951,2.1485,
Insurance,DFYFF,"6,221 M",54.52,$1.87,$20.62,$2.50,12.652,4.7724,2.3097,
Capital Markets,IVZ,"6,472 M",14.46,$1.86,$23.88,$1.24,5.0916,2.4377,2.6332,
Banks,SBSI,852 M,28.19,$1.86,$26.85,$2.91,11.03,1.0599,10.217,
Banks,ONB,"7,717 M",20.86,$1.85,$19.75,$1.72,9.292,1.0899,8.5464,
Capital Markets,TSLX,"2,188 M",23.29,$1.82,$17.04,$1.89,11.058,6.8009,2.1848,
Banks,SHBI,484 M,14.49,$1.80,$16.55,$1.48,9.2664,.8243,11.18,
Financial Services,RELY,"4,354 M",21.36,$1.79,$3.55,($0.03),-.7143,-.3569,1.5213,
Banks,CZNC,287 M,18.55,$1.78,$18.20,$1.75,9.9156,1.0503,9.2581,
Financial Services,SEZL,"3,552 M",106.71,$1.77,$3.70,$2.97,137.32,45.827,2.3701,
Consumer Finance,JFIN,814 M,15.25,$1.77,$8.03,$2.72,38.361,14.112,1.7288,
Banks,BMRC,346 M,21.31,$1.77,$27.38,($0.40),-1.4733,-.1709,8.609,
Banks,WSFS,"3,003 M",52.89,$1.75,$46.31,$4.44,10.285,1.282,7.6916,
Banks,ORRF,586 M,30.06,$1.73,$27.32,$1.84,7.8472,.732,10.211,
Consumer Finance,FINV,"2,119 M",8.36,$1.71,$8.41,$1.37,17.514,19.665,1.5807,
Banks,AROW,429 M,25.75,$1.71,$24.26,$1.70,7.2492,.6458,11.001,
Banks,STEL,"1,386 M",26.92,$1.70,$30.89,$2.12,7.2294,1.0731,6.478,
Banks,FBK,"2,000 M",43.65,$1.70,$34.44,$2.73,8.2722,.9925,8.2002,
Insurance,TWFG,522 M,35.01,$1.70,$5.05,($0.14),16.686,6.9118,4.3945,
Consumer Finance,ALLY,"10,751 M",35.00,$1.70,$38.77,$0.61,2.1585,.1558,16.235,
Mortgage Real Estate Investment Trusts (REITs),ABR,"1,841 M",9.58,$1.64,$12.35,$1.03,7.9854,1.7848,5.6312,
Banks,NBBK,684 M,16.85,$1.60,$19.79,$1.18,6.2578,.9321,7.0877,
Banks,HAFC,692 M,22.92,$1.59,$25.07,$2.13,8.8972,.8491,10.285,
Banks,WTBA,328 M,19.38,$1.55,$14.06,$1.53,11.3,.6562,16.76,
Capital Markets,OWL,"11,687 M",18.68,$1.54,$3.73,$0.16,5.9496,4.6692,5.2605,
Capital Markets,PSEC,"1,486 M",3.29,$1.52,$7.25,($0.87),-4.8024,4.3314,2.1558,
Insurance,HGTY,882 M,9.72,$1.52,$1.81,$0.20,15.993,2.9468,11.146,
Banks,CVBF,"2,584 M",18.75,$1.51,$16.02,$1.45,9.4187,1.2811,6.8464,
Banks,EBC,"2,902 M",15.00,$1.50,$17.91,($0.72),-4.1847,-.5925,6.9736,
Capital Markets,TMXXF,"11,294 M",40.62,$1.49,$11.67,$1.12,10.769,.7914,11.49,
Banks,GCBC,369 M,21.69,$1.48,$13.45,$1.67,13.328,.9707,13.133,
Banks,FMNB,498 M,13.23,$1.47,$11.41,$1.28,11.69,.9433,12.017,
Banks,WSBC,"2,945 M",30.78,$1.46,$38.02,$1.44,3.3805,.4728,7.5369,
Financial Services,BUR,"2,812 M",12.86,$1.45,$11.15,$0.93,9.0344,4.7191,2.539,
Mortgage Real Estate Investment Trusts (REITs),NLY,"11,466 M",18.95,$1.45,$19.02,$0.93,5.5075,.6886,9.1739,
Banks,BWB,402 M,14.64,$1.38,$14.60,$1.10,7.6728,.7023,12.763,
Banks,TFIN,"1,368 M",57.77,$1.36,$36.32,$0.37,1.353,.2017,7.3839,
Mortgage Real Estate Investment Trusts (REITs),KREF,606 M,8.93,$1.34,$14.62,$0.16,2.3331,.4634,6.6101,
Banks,FHN,"10,084 M",19.88,$1.33,$16.41,$1.44,8.9916,1.0031,9.7911,
Insurance,GBLI,429 M,30.08,$1.32,$47.85,$1.99,4.1418,1.2891,2.5088,
Banks,NWBI,"1,569 M",12.28,$1.30,$12.75,$0.90,7.2026,.7911,8.873,
Insurance,PUK,"29,509 M",22.84,$1.29,$6.62,$0.84,13.176,1.4717,10.398,
Banks,CWBC,339 M,17.80,$1.29,$19.53,$0.65,4.2071,.4115,9.5463,
Capital Markets,BEN,"11,372 M",21.64,$1.29,$23.50,$0.69,2.7987,2.2236,2.5911,
Banks,FCF,"1,639 M",15.62,$1.28,$14.24,$1.34,9.9086,1.173,8.1451,
Insurance,TRUP,"2,019 M",47.19,$1.26,$7.80,($0.10),-1.3386,.064,2.5089,
Mortgage Real Estate Investment Trusts (REITs),ARI,"1,366 M",9.83,$1.26,$13.40,($0.04),.5567,.1208,4.7213,
Consumer Finance,UPST,"4,488 M",47.17,$1.25,$7.12,($0.74),-10.304,-2.1645,3.3936,
Capital Markets,AGFMF,543 M,8.44,$1.22,$12.18,$1.01,8.3842,5.4698,1.473,
Banks,BMA,"5,309 M",84.51,$1.21,$6.15,$0.49,7.6572,2.2326,3.579,
Mortgage Real Estate Investment Trusts (REITs),REFI,305 M,14.56,$1.20,$14.87,$1.88,12.855,9.6093,1.3343,
Capital Markets,HOOD,"58,375 M",66.15,$1.20,$8.99,$1.75,21.431,4.3203,3.46,
Banks,FULT,"3,136 M",17.25,$1.19,$16.91,$1.70,10.603,1.0699,10.428,
Banks,CNOB,884 M,22.97,$1.18,$29.77,$1.84,6.2221,.7834,8.5457,
Financial Services,WRDLY,"1,648 M",2.922,$1.18,$30.12,($1.09),-3.3226,1.3454,2.3557,
Banks,BRKL,920 M,10.33,$1.14,$13.92,$0.82,6.0096,.6343,9.2889,
Mortgage Real Estate Investment Trusts (REITs),CIM,"1,067 M",13.18,$1.11,$32.65,$1.52,8.0877,1.6612,4.995,
Capital Markets,GSBD,"1,329 M",11.33,$1.11,$13.20,$0.45,3.2688,6.4043,2.2635,
Financial Services,GHI,281 M,12.00,$1.08,$12.59,$0.45,3.419,.9363,5.2213,
Banks,HBAN,"22,770 M",15.63,$1.06,$12.66,$1.30,10.372,1.0255,11.363,
Financial Services,AMIVF,388 M,8.16,$1.06,$7.67,$0.72,9.4691,5.5442,1.6386,
Banks,CFR,"8,163 M",126.98,$1.06,$61.74,$9.11,15.422,1.1777,13.104,
Capital Markets,BBDC,980 M,9.31,$1.04,$11.29,$0.94,8.2363,4.9289,2.348,
Capital Markets,BAM,"90,473 M",56.10,$1.02,$5.26,$1.46,20.229,11.375,1.763,
Mortgage Real Estate Investment Trusts (REITs),TRTX,613 M,7.68,$1.01,$13.69,$0.70,6.4115,1.8305,3.5903,
Financial Services,WU,"3,067 M",9.28,$1.01,$2.83,$2.70,136.84,5.6631,8.8758,
Capital Markets,AAMI,"1,078 M",30.11,$1.00,$0.59,$2.40,230.62,14.881,31.212,
Mortgage Real Estate Investment Trusts (REITs),LADR,"1,348 M",10.52,$1.00,$11.84,$0.82,6.752,2.0948,2.9473,
Banks,FRBA,363 M,14.53,$0.98,$16.57,$1.54,9.8129,1.0468,9.3531,
Banks,PBFS,287 M,11.40,$0.97,$12.35,$0.80,6.3064,.9124,6.6591,
Mortgage Real Estate Investment Trusts (REITs),MFA,955 M,9.30,$0.96,$17.91,$0.99,7.3719,1.2254,6.2667,
Financial Services,RPAY,429 M,4.81,$0.93,$8.48,($0.14),-1.6471,-.3639,2.0317,
Capital Markets,AC,789 M,37.32,$0.93,$42.51,$1.80,4.1964,-1.263,1.0381,
Banks,FNB,"4,991 M",13.87,$0.91,$17.86,$1.27,7.405,.9692,7.6379,
Mortgage Real Estate Investment Trusts (REITs),RITM,"5,911 M",11.15,$0.91,$12.39,$1.19,9.5512,1.6802,6.9007,
Insurance,NODK,275 M,13.28,$0.91,$12.27,$0.29,2.4026,1.2177,2.0684,
Capital Markets,PAX,"2,014 M",12.74,$0.90,$3.48,$0.45,14.463,8.6776,2.3282,
Capital Markets,FRRPF,445 M,4.1125,$0.90,$1.85,$0.25,16.157,6.1807,4.3969,
Banks,WFC,"243,348 M",74.78,$0.89,$49.82,$5.57,11.021,1.0306,12.003,
Banks,HSBC,"208,218 M",59.28,$0.88,$9.74,$1.08,10.962,.7178,16.007,
Banks,NFBK,498 M,11.68,$0.86,$16.66,$0.76,4.4846,.5467,8.0293,
Banks,HOPE,"1,286 M",10.04,$0.86,$17.84,$0.78,4.4407,.5396,7.9019,
Capital Markets,STEP,"4,441 M",57.85,$0.84,$2.34,($2.52),-9.4764,-3.7418,25.573,
Capital Markets,WT,"1,388 M",9.44,$0.82,$2.91,$0.37,14.249,9.1778,2.461,
Banks,SSB,"8,911 M",87.80,$0.78,$84.99,$6.12,7.1807,.9227,7.5525,
Banks,BANC,"2,160 M",13.72,$0.78,$18.19,$0.65,4.3264,.4283,11.174,
Financial Services,VEL,611 M,16.75,$0.78,$15.92,$1.94,13.647,1.3166,10.603,
Insurance,AMSF,904 M,47.47,$0.78,$13.70,$2.48,16.892,3.1008,4.435,
Banks,PDLB,321 M,13.39,$0.75,$12.73,$0.60,2.8815,.4913,10.696,
Banks,HTBK,570 M,9.26,$0.74,$11.30,$0.68,6.1185,.7796,7.9206,
Banks,BSBR,"38,849 M",5.20,$0.74,$2.84,$0.31,11.359,1.1316,10.36,
Consumer Finance,NRDS,785 M,10.54,$0.73,$4.99,$0.38,7.8635,2.0898,1.2783,
Capital Markets,NMFC,"1,162 M",10.77,$0.72,$12.45,$0.99,8.0913,5.4299,2.3816,
Financial Services,TOST,"24,402 M",42.18,$0.72,$2.90,$0.25,10.987,3.5745,1.5326,
Capital Markets,PX,"1,218 M",10.86,$0.71,$3.03,$0.16,4.9383,7.2268,2.6242,
Mortgage Real Estate Investment Trusts (REITs),NREF,262 M,14.77,$0.71,$19.29,$2.59,14.328,1.2266,15.864,
Banks,LNKB,256 M,6.85,$0.70,$7.87,$0.97,12.742,1.2688,9.7308,
Mortgage Real Estate Investment Trusts (REITs),BRSP,660 M,5.06,$0.70,$7.92,($0.56),-6.7274,2.5849,3.4308,
Banks,FFIC,406 M,12.03,$0.70,$20.81,($1.45),-6.5292,-.503,12.817,
Consumer Finance,LX,"1,220 M",7.25,$0.69,$9.13,$1.07,12.571,5.9937,2.0181,
Mortgage Real Estate Investment Trusts (REITs),ORC,746 M,6.83,$0.63,$7.94,$0.46,5.2347,.6078,8.5342,
Banks,FLIC,269 M,11.87,$0.61,$16.91,$0.72,4.3152,.3935,10.648,
Capital Markets,NOAH,682 M,10.31,$0.60,$100.04,$0.96,4.8585,3.5464,1.1693,
Mortgage Real Estate Investment Trusts (REITs),ACRE,254 M,4.61,$0.59,$9.89,($0.24),-2.3311,-.734,2.803,
Banks,BAC,"332,382 M",44.13,$0.58,$36.39,$3.35,9.4559,.8411,12.176,
Banks,OCFC,981 M,16.81,$0.54,$29.33,$1.53,5.5255,.6977,7.7909,
Insurance,GNW,"2,922 M",7.05,$0.54,$20.94,$0.53,3.8469,.4342,10.018,
Financial Services,PAY,"4,779 M",38.19,$0.53,$4.00,$0.40,10.802,5.906,1.1808,
Banks,FNBT,333 M,27.15,$0.52,$29.87,$0.64,2.7743,.2366,10.827,
Mortgage Real Estate Investment Trusts (REITs),DX,"1,290 M",12.04,$0.48,$12.60,$0.79,6.0059,.9212,7.022,
Banks,NBGRY,"11,810 M",12.9526,$0.46,$10.43,$1.31,13.141,1.4942,8.573,
Capital Markets,DBRG,"1,950 M",11.06,$0.46,$6.62,$0.37,6.8915,2.4245,2.9492,
Capital Markets,BCSF,"1,020 M",15.72,$0.45,$17.64,$1.75,9.8705,5.0957,2.3087,
Capital Markets,BGC,"4,530 M",9.28,$0.45,$1.98,$0.27,12.343,2.7562,5.068,
Financial Services,GB,"1,481 M",7.43,$0.45,$0.55,$0.27,69.227,7.3168,9.091,
Capital Markets,GAIN,554 M,15.05,$0.44,$13.55,$1.78,13.172,3.8051,2.0165,
Insurance,AEG,"11,450 M",7.19,$0.44,$4.76,$0.39,7.1655,.0657,35.636,
Capital Markets,VINP,622 M,9.71,$0.43,$5.23,$0.38,7.7903,4.4028,1.8126,
Consumer Finance,GDOT,507 M,9.24,$0.40,$17.27,($0.11),-.6246,-.1027,6.0442,
Financial Services,BRLGF,534 M,6.82,$0.38,$1.20,($1.50),-149.77,9.7046,1.5667,
Financial Services,IMXI,331 M,11.03,$0.37,$4.59,$1.70,39.272,11.597,3.5233,
Financial Services,FLYW,"1,307 M",10.75,$0.36,$6.42,$0.04,.6269,-.1017,1.352,
Financial Services,PAYO,"2,463 M",6.81,$0.35,$2.07,$0.28,15.969,1.318,10.057,
Banks,TFSL,"3,710 M",13.21,$0.34,$6.80,$0.28,4.2908,.4782,9.022,
Banks,KRNY,389 M,6.03,$0.33,$11.96,($1.14),-8.8621,-.9087,10.337,
Financial Services,AVDX,"2,021 M",9.79,$0.32,$3.29,$0.01,.2732,-.1522,2.9327,
Insurance,AMBC,364 M,7.83,$0.31,$18.36,($0.62),-5.2932,-.1552,9.6844,
Mortgage Real Estate Investment Trusts (REITs),AGNC,"9,122 M",8.94,$0.30,$8.86,$0.40,5.0483,.5603,11.405,
Financial Services,ECNCF,557 M,1.9802,$0.24,$0.27,$0.02,6.7769,1.3966,12.31,
Banks,CFFN,743 M,5.71,$0.24,$7.98,$0.40,5.0955,.5404,9.3705,
Banks,HBNC,654 M,14.84,$0.23,$17.60,$1.02,6.0616,.5861,9.83,
Capital Markets,BOLSY,"12,985 M",7.48,$0.22,$0.63,$0.15,24.464,8.4908,2.4631,
Insurance,HCXLY,"5,912 M",35.08,$0.22,$10.85,$1.78,17.954,4.2004,3.0473,
Insurance,SLQT,375 M,2.17,$0.20,$2.03,($0.04),.8169,3.9173,3.7001,
Mortgage Real Estate Investment Trusts (REITs),CMTG,359 M,2.57,$0.20,$13.88,($1.78),-11.907,-3.4289,3.4406,
Banks,CRDIY,"7,420 M",19.50,$0.16,$7.52,$0.48,6.4461,.3378,19.254,
Banks,BAP,"16,811 M",211.81,$0.13,$122.95,$19.72,16.643,2.3803,7.0926,
Mortgage Real Estate Investment Trusts (REITs),NYMT,590 M,6.53,$0.12,$9.57,($0.06),1.5775,.2655,11.545,
Capital Markets,MAIN,"5,064 M",56.88,$0.12,$32.03,$5.90,19.306,6.0166,1.8567,
Capital Markets,CCAP,575 M,15.52,$0.12,$19.62,$1.34,6.701,5.5455,2.2919,
Financial Services,CTLP,611 M,8.37,$0.10,$3.30,$0.80,28.197,3.7169,1.5394,
Financial Services,MQ,"2,519 M",5.38,$0.09,$2.05,$0.11,5.0126,.2943,1.367,
Banks,CLBK,"1,502 M",14.31,$0.09,$10.49,($0.02),-.1494,-.015,9.6405,
Insurance,WDH,524 M,1.45,$0.08,$1.81,$0.14,7.3467,1.7671,1.3452,
Consumer Finance,KGTHY,"3,269 M",12.68,$0.06,$0.45,$0.08,18.708,6.9404,2.5796,
Insurance,TRRSF,"1,400 M",29.4498,$0.02,$11.99,$1.60,15.043,2.2182,5.5998,
Capital Markets,FFXDF,"2,379 M",17.64,$0.01,$19.41,$0.30,1.7725,2.3578,1.361,
Banks,BCH,"15,259 M",30.21,$0.01,$0.06,$0.01,23.437,2.2407,9.966,
Banks,BSAC,"11,373 M",24.14,$0.00,$0.02,$0.01,23.26,1.4427,15.24,
Capital Markets,CYFRF,357 M,2.15,($0.01),$0.28,$0.03,17.124,12.462,1.2398,
Financial Services,DLO,"3,101 M",10.86,($0.01),$1.91,$0.48,29.242,8.3125,2.2779,
Capital Markets,CION,509 M,9.67,($0.04),$14.28,($0.29),-1.8826,5.7634,2.5058,
Banks,KEY,"17,382 M",15.86,($0.04),$14.84,($0.13),.143,.0127,11.434,
Insurance,KFS,348 M,12.86,($0.06),$0.20,($0.40),-43.174,-.4652,35.231,
Insurance,BWIN,"2,722 M",38.53,($0.11),$8.87,($0.50),-5.2149,1.3833,5.7271,
Banks,AVAL,"3,360 M",2.83,($0.14),$0.17,$0.01,7.91,.7914,19.208,
Capital Markets,GLXY,"2,376 M",18.15,($0.15),$8.02,$0.55,8.7414,0,1.096,
Consumer Finance,DFDV,254 M,17.51,($0.21),$0.28,($0.26),-65.061,-36.917,1.4601,
Financial Services,LSAK,344 M,4.24,($0.25),$2.36,($0.90),-34.905,.6921,3.5048,
Financial Services,PRTH,680 M,8.53,($0.25),($1.99),($0.10),-121.83,5.0784,-11.948,
Banks,FFWM,425 M,5.16,($0.28),$11.81,($1.20),-8.6766,-.6594,12.938,
Financial Services,WEX,"4,552 M",132.93,($0.31),$23.70,$7.78,24.365,3.045,17.231,
Consumer Finance,QD,489 M,2.96,($0.32),$9.17,$0.07,.7983,-1.6157,1.1039,
Financial Services,IX,"24,158 M",21.26,($0.34),$24.00,$2.05,8.5766,1.9862,4.124,
Capital Markets,DEFT,"1,181 M",3.58,($0.34),$0.16,$0.05,49.8,1.9848,14.198,
Capital Markets,HRZN,305 M,7.57,($0.35),$7.57,($0.95),-11.206,6.2935,2.585,
Insurance,PRA,"1,184 M",23.19,($0.37),$24.05,$0.83,3.6047,.9487,4.4795,
Banks,SAN,"118,512 M",7.97,($0.37),$7.27,$0.87,13.334,.7884,18.2,
Financial Services,TBCRF,445 M,5.375,($0.40),$5.76,$0.39,6.7381,2.6547,2.609,
Banks,LYG,"63,022 M",4.21,($0.43),$1.02,$0.08,9.2386,.5007,19.036,
Financial Services,HASI,"3,042 M",25.05,($0.45),$19.91,$1.08,5.7866,1.9327,3.1236,
Capital Markets,CNS,"3,917 M",76.84,($0.50),$9.96,$3.06,30.76,14.716,1.6445,
Insurance,LMND,"2,454 M",33.50,($0.53),$7.45,($3.03),-35.568,-7.5363,3.4035,
Insurance,SPNT,"2,284 M",19.59,($0.58),$15.73,$0.96,7.2518,1.4665,6.7283,
Capital Markets,OBDC,"7,487 M",14.65,($0.59),$15.14,$1.57,9.5165,4.9836,2.3744,
Capital Markets,GBDC,"4,052 M",15.21,($0.60),$15.04,$1.18,8.8818,5.7372,2.2134,
Capital Markets,HTGC,"3,093 M",17.63,($0.61),$11.71,$1.33,11.441,6.6673,2.015,
